Date,Close
1/2/2018 16:00,25.17
1/3/2018 16:00,23.52
1/4/2018 16:00,23.91
1/5/2018 16:00,26.81
1/8/2018 16:00,26.07
1/9/2018 16:00,25.49
1/10/2018 16:00,25.77
1/11/2018 16:00,28.44
1/12/2018 16:00,28.52
1/16/2018 16:00,27.18
1/17/2018 16:00,28.34
1/18/2018 16:00,30.08
1/19/2018 16:00,29.73
1/22/2018 16:00,33.75
1/23/2018 16:00,38.78
1/24/2018 16:00,37.46
1/25/2018 16:00,40.45
1/26/2018 16:00,39.45
1/29/2018 16:00,44.39
1/30/2018 16:00,41.7
1/31/2018 16:00,39.28
2/1/2018 16:00,38.48
2/2/2018 16:00,36.91
2/5/2018 16:00,35.63
2/6/2018 16:00,36.56
2/7/2018 16:00,41.67
2/8/2018 16:00,38.64
2/9/2018 16:00,34.88
2/12/2018 16:00,37.37
2/13/2018 16:00,40.11
2/14/2018 16:00,40.21
2/15/2018 16:00,40.62
2/16/2018 16:00,40.01
2/20/2018 16:00,41.61
2/21/2018 16:00,41.16
2/22/2018 16:00,41.92
2/23/2018 16:00,43.04
2/26/2018 16:00,48.34
2/27/2018 16:00,46.29
2/28/2018 16:00,48.46
3/1/2018 16:00,46.54
3/2/2018 16:00,50.02
3/5/2018 16:00,49.4
3/6/2018 16:00,48.93
3/7/2018 16:00,51.49
3/8/2018 16:00,53.7
3/9/2018 16:00,56.72
3/12/2018 16:00,56.8
3/13/2018 16:00,56.51
3/14/2018 16:00,58.17
3/15/2018 16:00,52.6
3/16/2018 16:00,51.77
3/19/2018 16:00,51.52
3/20/2018 16:00,52.56
3/21/2018 16:00,52.16
3/22/2018 16:00,52.1
3/23/2018 16:00,52.96
3/26/2018 16:00,52.27
3/27/2018 16:00,44.68
3/28/2018 16:00,44.86
3/29/2018 16:00,45.71
4/2/2018 16:00,43.27
4/3/2018 16:00,42.62
4/4/2018 16:00,44.15
4/5/2018 16:00,42.67
4/6/2018 16:00,43.27
4/9/2018 16:00,44.86
4/10/2018 16:00,49.27
4/11/2018 16:00,49.81
4/12/2018 16:00,52.56
4/13/2018 16:00,51.77
4/16/2018 16:00,51.18
4/17/2018 16:00,52.73
4/18/2018 16:00,53.22
4/19/2018 16:00,57.42
4/20/2018 16:00,54.07
4/23/2018 16:00,49.6
4/24/2018 16:00,47.27
4/25/2018 16:00,47.78
4/26/2018 16:00,50.07
4/27/2018 16:00,48.91
4/30/2018 16:00,46.86
5/1/2018 16:00,47.41
5/2/2018 16:00,48.52
5/3/2018 16:00,47.77
5/4/2018 16:00,49.09
5/7/2018 16:00,51.72
5/8/2018 16:00,51.97
5/9/2018 16:00,51.5
5/10/2018 16:00,52.12
5/11/2018 16:00,52.73
5/14/2018 16:00,56.78
5/15/2018 16:00,57.75
5/16/2018 16:00,57.65
5/17/2018 16:00,65.4
5/18/2018 16:00,65.4
5/21/2018 16:00,64.6
5/22/2018 16:00,63.76
5/23/2018 16:00,69.57
5/24/2018 16:00,69.65
5/25/2018 16:00,69.94
5/29/2018 16:00,68.91
5/30/2018 16:00,73.59
5/31/2018 16:00,68.91
6/1/2018 16:00,67.13
6/4/2018 16:00,65.97
6/5/2018 16:00,66.95
6/6/2018 16:00,67.84
6/7/2018 16:00,67.01
6/8/2018 16:00,68.15
6/11/2018 16:00,59.57
6/12/2018 16:00,59.34
6/13/2018 16:00,57
6/14/2018 16:00,59.06
6/15/2018 16:00,59.31
6/18/2018 16:00,62.63
6/19/2018 16:00,62.06
6/20/2018 16:00,65.26
6/21/2018 16:00,65.14
6/22/2018 16:00,62.78
6/25/2018 16:00,61.67
6/26/2018 16:00,64.1
6/27/2018 16:00,60.08
6/28/2018 16:00,58.79
6/29/2018 16:00,58.76
7/2/2018 16:00,60.05
7/3/2018 13:00,61.26
7/5/2018 16:00,61.74
7/6/2018 16:00,62.88
7/9/2018 16:00,63.21
7/10/2018 16:00,62.21
7/11/2018 16:00,64.19
7/12/2018 16:00,65.05
7/13/2018 16:00,65.71
7/16/2018 16:00,60.06
7/17/2018 16:00,62.01
7/18/2018 16:00,58.53
7/19/2018 16:00,58.39
7/20/2018 16:00,58.35
7/23/2018 16:00,57.27
7/24/2018 16:00,51.81
7/25/2018 16:00,50.82
7/26/2018 16:00,49.77
7/27/2018 16:00,47.01
7/30/2018 16:00,47.15
7/31/2018 16:00,47.74
8/1/2018 16:00,48.43
8/2/2018 16:00,48.78
8/3/2018 16:00,47.53
8/6/2018 16:00,48.43
8/7/2018 16:00,48.64
8/8/2018 16:00,47.1
8/9/2018 16:00,47.95
8/10/2018 16:00,47.11
8/13/2018 16:00,47.07
8/14/2018 16:00,47.86
8/15/2018 16:00,47.06
8/16/2018 16:00,50
8/17/2018 16:00,48.67
8/20/2018 16:00,48.92
8/21/2018 16:00,51.54
8/22/2018 16:00,48.89
8/23/2018 16:00,48.57
8/24/2018 16:00,48.42
8/27/2018 16:00,48.94
8/28/2018 16:00,51.15
8/29/2018 16:00,52.17
8/30/2018 16:00,53.46
8/31/2018 16:00,56.67
9/4/2018 16:00,55.5
9/5/2018 16:00,53.45
9/6/2018 16:00,49.88
9/7/2018 16:00,50.14
9/10/2018 16:00,49.69
9/11/2018 16:00,51.8
9/12/2018 16:00,53.73
9/13/2018 16:00,54.15
9/14/2018 16:00,55.36
9/17/2018 16:00,50.32
9/18/2018 16:00,53.18
9/19/2018 16:00,51.89
9/20/2018 16:00,48.99
9/21/2018 16:00,44.49
9/24/2018 16:00,45.28
9/25/2018 16:00,46.37
9/26/2018 16:00,45.76
9/27/2018 16:00,46.44
9/28/2018 16:00,44.35
10/1/2018 16:00,42.34
10/2/2018 16:00,39.72
10/3/2018 16:00,39
10/4/2018 16:00,37.56
10/5/2018 16:00,38.56
10/8/2018 16:00,36.56
10/9/2018 16:00,36.85
10/10/2018 16:00,36.64
10/11/2018 16:00,36.95
10/12/2018 16:00,37.7
10/15/2018 16:00,35.9
10/16/2018 16:00,39.6
10/17/2018 16:00,39.74
10/18/2018 16:00,37.2
10/19/2018 16:00,36.04
10/22/2018 16:00,35.47
10/23/2018 16:00,35.02
10/24/2018 16:00,31.81
10/25/2018 16:00,33.13
10/26/2018 16:00,32.42
10/29/2018 16:00,31.28
10/30/2018 16:00,32
